标题,开发商,房子信息,户型,面积,朝向,装修,楼层,建造时间,结构,发布周期,售价/万,单价
（店长推荐）西南四环边 御景春天 超大面积 经典两居,御景春天A区 -科技园区,2室2厅 | 92.77平米 | 南 东 | 简装 | 低楼层(共25层) | 2011年建 | 塔楼,2室2厅 , 92.77平米 , 南 东 , 简装 , 低楼层(共25层) , 2011年建 , 塔楼,37人关注 / 1个月以前发布,426,"45,921元/平"
随时可以签约钥匙房西南向方正三居 满五年在京唯一,棕榈泉国际公寓 -朝阳公园,3室2厅 | 178.82平米 | 西南 | 精装 | 中楼层(共30层) | 2004年建 | 塔楼,3室2厅 , 178.82平米 , 西南 , 精装 , 中楼层(共30层) , 2004年建 , 塔楼,25人关注 / 1个月以前发布,2000,"111,845元/平"
五里店南里南北通透三居室，楼层好,五里店南里 -五里店,3室1厅 | 71.2平米 | 南 北 | 简装 | 顶层(共6层)  | 板楼,3室1厅 , 71.2平米 , 南 北 , 简装 , 顶层(共6层)  ,不详, 板楼,63人关注 / 7个月以前发布,256,"35,956元/平"
长城国际东向小户型，随时可看，业主诚心出售,长城国际 -通州北苑,1室1厅 | 48.52平米 | 东 西 | 精装 | 20层 | 2009年建 | 塔楼,1室1厅 , 48.52平米 , 东 西 , 精装 , 20层 , 2009年建 , 塔楼,47人关注 / 2个月以前发布,175,"36,068元/平"
晓月新苑，朝南大一居，楼层好，采光足，满五唯一,晓月新苑 -卢沟桥,1室1厅 | 63.14平米 | 南 | 简装 | 低楼层(共21层) | 2007年建 | 板塔结合,1室1厅 , 63.14平米 , 南 , 简装 , 低楼层(共21层) , 2007年建 , 板塔结合,25人关注 / 1个月以前发布,258,"40,862元/平"
玉林里精装全明格局三居室满五唯一,玉林里小区 -右安门外,3室1厅 | 81.2平米 | 南 北 | 精装 | 18层  | 塔楼,3室1厅 , 81.2平米 , 南 北 , 精装 , 18层  ,不详, 塔楼,12人关注 / 8天以前发布,595,"73,276元/平"
商品房，南北通透格局配套齐小区环境优美,金泰丽湾悦栖山 -大峪,3室2厅 | 160.86平米 | 南 北 | 简装 | 20层  | 板楼,3室2厅 , 160.86平米 , 南 北 , 简装 , 20层  ,不详, 板楼,4人关注 / 7天以前发布,585,"36,368元/平"
金茂府南区 东南北四居室 高楼层边户 眼睛户型,金茂府南区 -大望路,4室2厅 | 229.03平米 | 南 北 东 | 精装 | 24层  | 板楼,4室2厅 , 229.03平米 , 南 北 东 , 精装 , 24层  ,不详, 板楼,1人关注 / 4天以前发布,2980,"130,114元/平"
k2玉兰湾 南北通透三居 户型方正 满五年 随时看房,K2玉蘭湾 -九棵树(家乐福),3室2厅 | 134.72平米 | 南 北 | 精装 | 18层 | 2015年建 | 板楼,3室2厅 , 134.72平米 , 南 北 , 精装 , 18层 , 2015年建 , 板楼,4人关注 / 8天以前发布,755,"56,043元/平"
满五唯一南北通透高层视野开阔，有钥匙随时看房,远洋沁山水 -鲁谷,3室1厅 | 142.15平米 | 南 北 | 精装 | 21层 | 2009年建 | 板楼,3室1厅 , 142.15平米 , 南 北 , 精装 , 21层 , 2009年建 , 板楼,10人关注 / 8天以前发布,1420,"99,895元/平"
玉桥东路34号院，东西朝向，满五年唯一，布局合理,玉桥东路34号院 -乔庄,2室2厅 | 100.16平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,2室2厅 , 100.16平米 , 东 西 , 精装 , 中楼层(共6层)  ,不详, 板楼,3人关注 / 5天以前发布,314.9,"31,440元/平"
永安东里 精装修 南北通透 明厨暗卫 三室两厅,永安东里 -定慧寺,3室2厅 | 96.1平米 | 南 西 北 | 精装 | 顶层(共6层)  | 板楼,3室2厅 , 96.1平米 , 南 西 北 , 精装 , 顶层(共6层)  ,不详, 板楼,9人关注 / 7天以前发布,860,"89,491元/平"
美林花园 高层东南三居 视野开阔 中间位置 品质社区,美林花园 -紫竹桥,3室1厅 | 201.16平米 | 南 | 简装 | 高楼层(共25层) | 2000年建 | 塔楼,3室1厅 , 201.16平米 , 南 , 简装 , 高楼层(共25层) , 2000年建 , 塔楼,6人关注 / 8天以前发布,2100,"104,395元/平"
天露园一区 3室2厅 南 北,天露园一区 -回龙观,3室2厅 | 130.99平米 | 南 北 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,3室2厅 , 130.99平米 , 南 北 , 精装 , 低楼层(共6层) , 2008年建 , 板楼,3人关注 / 6天以前发布,555,"42,370元/平"
三环内 西罗园一区 满五年唯一 二层三室 绿化好,西罗园一区 -西罗园,3室1厅 | 65.5平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3室1厅 , 65.5平米 , 南 北 , 精装 , 中楼层(共5层)  ,不详, 板楼,4人关注 / 9天以前发布,438,"66,871元/平"
皂君东里明厨明卫两居室满五唯一,皂君东里 -皂君庙,2室1厅 | 65.5平米 | 东 西 | 精装 | 顶层(共6层) | 1990年建 | 板楼,2室1厅 , 65.5平米 , 东 西 , 精装 , 顶层(共6层) , 1990年建 , 板楼,0人关注 / 3天以前发布,598,"91,298元/平"
朝阳区，东四环，西南北两居，随时可以看房,城市广场 -十里堡,2室1厅 | 105.91平米 | 西南 北 | 精装 | 低楼层(共26层) | 1995年建 | 塔楼,2室1厅 , 105.91平米 , 西南 北 , 精装 , 低楼层(共26层) , 1995年建 , 塔楼,0人关注 / 3天以前发布,598,"56,464元/平"
南礼士路三条南里，建工集团分房，落地窗、正规大客厅,南礼士路三条南里 -月坛,2室2厅 | 101.5平米 | 东 西 | 精装 | 高楼层(共11层) | 2008年建 | 板塔结合,2室2厅 , 101.5平米 , 东 西 , 精装 , 高楼层(共11层) , 2008年建 , 板塔结合,31人关注 / 30天以前发布,1395,"137,439元/平"
马家堡 金胜嘉谊   2018次新小区东西通透三居室,金胜嘉谊家园 -大红门,3室2厅 | 128.25平米 | 东 西 | 简装 | 18层  | 板塔结合,3室2厅 , 128.25平米 , 东 西 , 简装 , 18层  ,不详, 板塔结合,4人关注 / 14天以前发布,829,"64,640元/平"
海淀区 学院路 清枫华景园 南北通透 三居室 小区中间,清枫华景园 -学院路,3室2厅 | 141.12平米 | 南 北 | 简装 | 高楼层(共7层) | 2005年建 | 板楼,3室2厅 , 141.12平米 , 南 北 , 简装 , 高楼层(共7层) , 2005年建 , 板楼,15人关注 / 16天以前发布,1550,"109,836元/平"
【聚焦好房】满五年南北通透双卫户型好 采光足,荟康苑 -常营,3室2厅 | 102.24平米 | 南 北 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,3室2厅 , 102.24平米 , 南 北 , 精装 , 高楼层(共7层) , 1996年建 , 板楼,9人关注 / 15天以前发布,435,"42,547元/平"
清河 莱圳家园三期 正规南北通透两居室 高楼层,莱圳家园 -清河,2室2厅 | 87.65平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,2室2厅 , 87.65平米 , 南 北 , 简装 , 高楼层(共13层)  ,不详, 板楼,12人关注 / 10天以前发布,799,"91,159元/平"
世纪宝鼎分层入户四居室，高楼层无遮挡，诚意出售,世纪宝鼎 -亚运村小营,4室1厅 | 230.5平米 | 南 西 北 | 简装 | 24层 | 2000年建 | 塔楼,4室1厅 , 230.5平米 , 南 西 北 , 简装 , 24层 , 2000年建 , 塔楼,2人关注 / 15天以前发布,1300,"56,400元/平"
房子满五唯一  低楼层  客厅带窗户  采光好,莲馨苑 -怀柔,3室1厅 | 100.22平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3室1厅 , 100.22平米 , 南 北 , 简装 , 低楼层(共6层)  ,不详, 板楼,0人关注 / 11天以前发布,240,"23,948元/平"
武夷花园 BOBO自由城 满五年唯一  电梯三居 南北通透,BOBO自由城 -武夷花园,3室2厅 | 125.34平米 | 南 北 | 精装 | 中楼层(共9层) | 2005年建 | 板楼,3室2厅 , 125.34平米 , 南 北 , 精装 , 中楼层(共9层) , 2005年建 , 板楼,6人关注 / 12天以前发布,789,"62,949元/平"
东南三环 华辉苑小区 满五唯一 商品房,华辉苑 -潘家园,3室2厅 | 150.74平米 | 西北 | 简装 | 中楼层(共23层) | 2000年建 | 塔楼,3室2厅 , 150.74平米 , 西北 , 简装 , 中楼层(共23层) , 2000年建 , 塔楼,0人关注 / 10天以前发布,695,"46,106元/平"
海棠湾二期 明厨明卫 满五年 远观环球影城 靠谱卖,海棠湾二期 -临河里,3室2厅 | 126.15平米 | 东南 北 | 简装 | 高楼层(共27层) | 2011年建 | 板楼,3室2厅 , 126.15平米 , 东南 北 , 简装 , 高楼层(共27层) , 2011年建 , 板楼,7人关注 / 15天以前发布,630,"49,941元/平"
天通苑北二区，带电梯双卫 南北通透  客厅带落地阳台,天通苑北二区 -天通苑,2室1厅 | 109.42平米 | 南 北 | 精装 | 低楼层(共17层) | 2004年建 | 板楼,2室1厅 , 109.42平米 , 南 北 , 精装 , 低楼层(共17层) , 2004年建 , 板楼,5人关注 / 16天以前发布,465,"42,497元/平"
美利新世界 中间楼层 双卫全明三居室,美利新世界 -旧宫,3室2厅 | 130.32平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3室2厅 , 130.32平米 , 南 北 , 简装 , 低楼层(共6层)  ,不详, 板楼,7人关注 / 11天以前发布,618,"47,422元/平"
