标题,开发商,房子信息,户型,面积,朝向,装修,楼层,建造时间,结构,发布周期,售价/万,单价
电梯房，低楼层，无遮挡，私产满五唯一，三片西康路,三乐里 -新兴街,1室1厅 | 49.07平米 | 西 | 简装 | 低楼层(共24层)  | 板塔结合,1室1厅 , 49.07平米 , 西 , 简装 , 低楼层(共24层)  ,不详, 板塔结合,3人关注 / 15天以前发布,251,"51,152元/平"
私产过五年，中yang空调地采暖，精装修，可拎包入住,水畔花园 -长虹街,1室1厅 | 56.93平米 | 北 | 精装 | 高楼层(共26层)  | 塔楼,1室1厅 , 56.93平米 , 北 , 精装 , 高楼层(共26层)  ,不详, 塔楼,13人关注 / 2个月以前发布,128,"22,484元/平"
七贤南里小区，高楼层，视野好，采光好。,中冶德贤公馆 -陈塘庄,1室1厅 | 57.31平米 | 西 | 精装 | 31层  | 板塔结合,1室1厅 , 57.31平米 , 西 , 精装 , 31层  ,不详, 板塔结合,24人关注 / 一年前发布,109,"19,020元/平"
金地艺城华府 一跃二洋房带院，诚意出售,金地艺城华府北泽雅居 -宜兴埠,4室1厅 | 132.19平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,4室1厅 , 132.19平米 , 南 北 , 精装 , 低楼层(共8层)  ,不详, 板楼,89人关注 / 6个月以前发布,259,"19,594元/平"
联排别墅，前后小院，装修好，户型好，位置好,圣缇湾 -翡翠湾,4室2厅 | 193.64平米 | 南 北 | 精装 | 3层  | 板塔结合 | 联排别墅 ,4室2厅 , 193.64平米 , 南 北 , 精装 , 3层  , 板塔结合 , 联排别墅 ,1人关注 / 10天以前发布,300,"15,493元/平"
别墅大边户，诚意出售，随时签约,碧桂园听湖 -南湖,5室3厅 | 254.11平米 | 南 北 | 毛坯 | 3层  | 板楼 | 联排别墅 ,5室3厅 , 254.11平米 , 南 北 , 毛坯 , 3层  , 板楼 , 联排别墅 ,1人关注 / 8天以前发布,383,"15,073元/平"
红旗路西侧，6-8号线，小区以小高为主，密度低,景丰园 -王顶堤,3室1厅 | 98.05平米 | 南 北 | 简装 | 高楼层(共21层)  | 板塔结合,3室1厅 , 98.05平米 , 南 北 , 简装 , 高楼层(共21层)  ,不详, 板塔结合,1人关注 / 6天以前发布,398,"40,592元/平"
海尔三室洋房  中间楼层  采光好,海尔格林小镇 -八里台,3室2厅 | 127.48平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,3室2厅 , 127.48平米 , 南 北 , 毛坯 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 8天以前发布,88,"6,904元/平"
南北通透大三居，采光视野无遮挡，看房方便。,翠亨村E区 -第三大街,3室2厅 | 145.42平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,3室2厅 , 145.42平米 , 南 北 , 毛坯 , 高楼层(共24层)  ,不详, 板楼,0人关注 / 5天以前发布,335,"23,037元/平"
优选 金厦里70年大产权 商品房 南北通透 配套成熟,金厦里 -王顶堤,2室1厅 | 74.47平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,2室1厅 , 74.47平米 , 南 北 , 简装 , 中楼层(共8层)  ,不详, 板楼,2人关注 / 5天以前发布,169,"22,694元/平"
